"cell","x","y","query.cluster","match.cell2cluster","rmax.cell2cluster","subclass","broad_class"
"644",16558.8860125966,17816.2932427517,"query.iter3_cl1","cl123_e45_Zbtb2_L23_IT",0.7807109869595,"L2/3 IT","Ex"
"646",10143.0053662696,13927.7363458248,"query.iter2_cl1","cl49_i90_Gpr149_Pvalb",0.765641708776896,"Pvalb","Inh"
"650",845.460365652617,13230.0960691834,"query.iter3_cl1","cl181_e28_Nfkbid_L23_IT",0.926350430688662,"L2/3 IT","Ex"
"654",11812.7751245378,13787.1063134085,"query.iter3_cl0","cl94_e57_Cyp39a1_L4",0.985136408346973,"L4","Ex"
"657",10684.4511187815,10479.1532345293,"query.iter3_cl5","cl78_e65_NA_L5_IT",0.930604130788195,"L5 IT","Ex"
"658",10507.829833523,13223.2185297666,"query.iter3_cl0","cl1_e421_Cst3_L4",0.775411399194855,"L4","Ex"
"659",14319.2050741992,10019.4502507836,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.5,"L5 PT","Ex"
"660",15434.3020713319,15903.240236878,"query.iter2_cl2","cl248_i20_Lsmem1_Sst",0.837563951116237,"Sst","Inh"
"661",16357.0785840049,5819.54396891278,"query.iter2_cl3","cl114_i47_Tbc1d2b_Lamp5",0.798608152876762,"Lamp5","Inh"
"662",15201.9720931312,17820.1265290297,"query.iter3_cl1","cl197_e24_Cfap54_L23_IT",0.989931624224827,"L2/3 IT","Ex"
"663",11662.6399964296,10309.4536792781,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.7807109869595,"L5 PT","Ex"
"670",4510.60236859458,8986.78635852081,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.770396341622423,"L5 PT","Ex"
"672",16722.4269812726,16219.7545557271,"query.iter2_cl3","cl54_i85_Thbs3_Vip",0.7807109869595,"Vip","Inh"
"673",3239.36744951139,13137.6542007231,"query.iter3_cl0","cl1_e421_Cst3_L4",0.934933159155966,"L4","Ex"
"676",15336.0517862876,6581.79403032678,"query.iter3_cl6","cl106_e50_Dlc1_L6_CT",0.7807109869595,"L6 PT","Ex"
"677",4504.54964375897,5698.61130630973,"query.iter4_cl2","cl101_e53_Zmiz1os1_L6_IT",0.5,"L6 IT","Ex"
"678",12993.2553734687,14865.3133827155,"query.iter3_cl0","cl174_e30_Zfp433_L4",0.922175654415973,"L4","Ex"
"679",1033.57050000945,15416.6253767008,"query.iter3_cl3","cl181_e28_Nfkbid_L23_IT",0.5,"L2/3 IT","Ex"
"681",17486.4308725852,18793.5649847019,"query.iter2_cl3","cl114_i47_Tbc1d2b_Lamp5",0.798608152876762,"Lamp5","Inh"
"684",327.391437164834,4888.32436186243,"query.iter4_cl2","cl46_e95_Npc1l1_L5_IT",0.5,"L5 IT","Ex"
"685",10855.6239238669,13567.6208313981,"query.iter3_cl5","cl148_e36_Mmel1_L4",0.989931624224827,"L4","Ex"
"689",15213.8759363259,13820.6103395993,"query.iter3_cl0","cl145_e37_Zfat_L4",0.775411399194855,"L4","Ex"
"690",7048.30432001229,7204.22312365225,"query.iter3_cl4","cl20_e142_Rap2a_L5_PT",0.5,"L5 PT","Ex"
